"Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","QAll","P0","P1","P2","P3","P4","Pall","X0","M1"
1,4,5,5,3,5,4,0,0,0,3.86,0,19,0,0,0,8.75,0,90
4,4,1,3,4,4,2,0,0,0,3.14,0,18,0,0,0,8.2894736842,0,91
0,6,1,5,3,4,3,0,0,0,3.14,0,0.5,0,0,0,0.2302631579,0,66
2,2,5,3,0,4,0,0,0,0,2.29,0,8,0,0,0,3.6842105263,0,55
3,2,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,46
2,4,5,5,3,4,3,0,0,0,3.71,0,13,0,0,0,5.9868421053,0,92
2,0,5,5,3,0,0,0,0,0,2.14,0,0,0,0,0,0,0,56
5,3,3,5,3,4,2,0,0,0,3.57,0,11,0,0,0,5.0657894737,0,62
5,4,5,5,3,5,2,0,0,0,4.14,0,14,0,0,0,6.4473684211,0,74
4,2,5,5,3,5,2,0,0,0,3.71,0,6,0,0,0,2.7631578947,0,76
4,6,4,5,5,5,2,0,0,0,4.43,0,13,0,0,0,5.9868421053,0,83
5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,6,4,5,3,5,2,0,0,0,4.29,0,11.5,0,0,0,5.2960526316,0,73
4,2,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,46
2,4,5,5,3,5,2,0,0,0,3.71,0,13,0,0,0,5.9868421053,0,78
5,4,5,5,4,4,2,0,0,0,4.14,0,0,0,0,0,0,0,56
5,2,3,5,4,4,2,0,0,0,3.57,0,13.5,0,0,0,6.2171052632,0,79
4,2,5,5,4,0,2,0,0,0,3.14,0,6,0,0,0,2.7631578947,0,83
3,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0
4,4,0,5,3,0,0,0,0,0,2.29,0,0,0,0,0,0,0,21
0,0,5,5,0,4,2,0,0,0,2.29,0,0,0,0,0,0,0,0
5,4,5,5,5,5,4,0,0,0,4.71,0,16,0,0,0,7.3684210526,0,95
2,4,3,5,3,4,2,0,0,0,3.29,0,-1,0,0,0,-0.4605263158,0,69
3,6,5,5,3,4,2,0,0,0,4,0,9,0,0,0,4.1447368421,0,79
0,2,4,4,4,5,2,0,0,0,3,0,16,0,0,0,7.3684210526,0,78
1,4,4,3,3,4,2,0,0,0,3,0,18,0,0,0,8.2894736842,0,68
2,0,5,5,4,4,2,0,0,0,3.14,0,4.5,0,0,0,2.0723684211,0,35
5,5,5,5,5,5,5,0,0,0,5,0,18,0,0,0,8.2894736842,0,95
5,0,0,0,0,0,0,0,0,0,0.71,0,10,0,0,0,4.6052631579,0,0
2,3,5,5,3,5,2,0,0,0,3.57,0,7,0,0,0,3.2236842105,0,49
0,2,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0
5,3,4,3,4,4,3,0,0,0,3.71,0,11,0,0,0,5.0657894737,0,68
5,4,3,5,4,5,3,0,0,0,4.14,0,17,0,0,0,7.8289473684,0,73
2,2,0,3,3,0,2,0,0,0,1.71,0,15,0,0,0,6.9078947368,0,68
5,4,5,5,4,5,3,0,0,0,4.43,0,18.5,0,0,0,8.5197368421,0,83
2,4,5,5,4,5,2,0,0,0,3.86,0,0,0,0,0,0,0,59
1,4,2,5,3,4,2,0,0,0,3,0,0,0,0,0,0,0,0
5,4,4,5,3,5,2,0,0,0,4,0,9,0,0,0,4.1447368421,0,60
4,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0
0,4,5,5,3,5,2,0,0,0,3.43,0,2,0,0,0,0.9210526316,0,64
5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,83
3,2,5,5,4,0,0,0,0,0,2.71,0,0,0,0,0,0,0,42
